Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD33554,05088+1559,F05088+1559,,HR 1684,HD 33554,K5III,11.18,2.76,10.9,2.71,05 11 41.5635,+16 02 44.423,Star,5,11,41.5635,16,2,44.423,77.92318125,16.04567306
HD33856,05107+0248,F05106+0248,RHO ORI,HR 1698,HD 33856,K1III,8.941,1.988,9.01,1.95,05 13 17.4814,+02 51 40.556,Spectroscopic binary,5,13,17.4814,2,51,40.556,78.32283917,2.861265556
HD33872,05098-3727,F05098-3727,SAO 195639,HR 1699,HD 33872,K5III,5.412,1.335,5.54,1.42,05 11 35.8375,-37 23 43.012,Star,5,11,35.8375,-37,23,43.012,77.89932292,-36.60471889
HD34334,05149+3319,Z05149+3319,16 AUR,HR 1726,HD 34334,K2.5III,11.56,2.7,12.3,2.65,05 18 10.5690,+33 22 17.806,Spectroscopic binary,5,18,10.569,33,22,17.806,79.5440375,33.37161278
HD34450,05186+7339,F05186+7339,,,HD 34450,M0.5III,7.42,1.849,7.62,1.8,05 24 59.4159,+73 42 25.912,Star,5,24,59.4159,73,42,25.912,81.24756625,73.70719778
HD35536,05226-1022,F05226-1022,,HR 1799,HD 35536,K5III,7.474,1.729,7.71,1.74,05 25 01.7441,-10 19 43.993,Star,5,25,1.7441,-10,19,43.993,81.25726708,-9.671113056
HD36167,05271-0107,F05271-0107,31 ORI,HR 1834,HD 36167,K5III,20.05,4.725,19.9,5.02,05 29 43.9817,-01 05 32.060,Variable star,5,29,43.9817,-1,5,32.06,82.43325708,-0.907761111
HD36678,05324+5423,F05324+5423,,HR 1866,HD 36678,M0III,9.57,2.504,10.5,2.52,05 36 35.2177,+54 25 43.171,Variable star,5,36,35.2177,54,25,43.171,84.14674042,54.42865861
HD37160,05341+0915,F05341+0915,PHI 2 ORI,HR 1907,HD 37160,K0IIIb,9.421,2.02,9.37,2.16,05 36 54.4879,+09 17 26.422,High proper-motion star,5,36,54.4879,9,17,26.422,84.22703292,9.290672778
HD37984,05398+0127,F05398+0127,51 ORI,HR 1963,HD 37984,K1III,6.61,1.486,6.76,1.6,05 42 28.6321,+01 28 28.664,Star,5,42,28.6321,1,28,28.664,85.61930042,1.474628889
HD38944,05476+3717,Z05476+3717,UPS AUR,HR 2011,HD 38944,M0III,26.56,6.493,26.7,6.79,05 51 02.4374,+37 18 20.063,Variable star,5,51,2.4374,37,18,20.063,87.76015583,37.30557306
HD39003,05480+3908,Z05480+3908,NUU AUR,HR 2012,HD 39003,K0III,11.88,2.548,11.7,2.63,05 51 29.3990,+39 08 54.529,Star in double system,5,51,29.399,39,8,54.529,87.87249583,39.14848028
HD39364,05491-2053,F05491-2053,DEL LEP,HR 2035,HD 39364,K0III,12.99,3.262,13.2,3.3,05 51 19.2957,-20 52 44.719,High proper-motion star,5,51,19.2957,-20,52,44.719,87.83039875,-19.12091139
HD39400,05498+0150,F05498+0150,56 ORI,HR 2037,HD 39400,K1.5IIb,10.81,2.343,10.7,2.47,05 52 26.4386,+01 51 18.482,Variable star,5,52,26.4386,1,51,18.482,88.11016083,1.855133889
HD39425,05491-3546,F05492-3546,BET COL,HR 2040,HD 39425,K1.5III,29.15,6.471,28,6.46,05 50 57.5929,-35 46 05.911,High proper-motion star,5,50,57.5929,-35,46,5.911,87.73997042,-34.23169139
HD39523,05489-5610,F05489-5610,GAM PIC,HR 2042,HD 39523,K1III,6.927,1.665,6.81,1.69,05 49 49.6623,-56 09 59.987,Star,5,49,49.6623,-56,9,59.987,87.45692625,-55.83333694
HD39853,05523-1146,F05523-1146,,HR 2065,HD 39853,K5III,8.806,2.187,8.68,2.24,05 54 43.6305,-11 46 27.092,Star,5,54,43.6305,-11,46,27.092,88.68179375,-10.22580778
HD40035,05554+5416,F05554+5416,DEL AUR,HR 2077,HD 40035,K0-III,11.53,2.704,11.7,2.68,05 59 31.6366,+54 17 04.762,Star in double system,5,59,31.6366,54,17,4.762,89.88181917,54.28465611
HD40091,05532-3957,F05532-3957,SAO 196309,HR 2082,HD 40091,K6III,9.823,2.512,9.87,2.5,05 54 52.4843,-39 57 28.285,Star,5,54,52.4843,-39,57,28.285,88.71868458,-38.04214306
HD40808,05576-4249,F05576-4249,ETA COL,HR 2120,HD 40808,K0III,12.06,2.931,11.9,2.8,05 59 08.8053,-42 48 54.488,Star,5,59,8.8053,-42,48,54.488,89.78668875,-41.18486444
HD41047,05594-3354,F05594-3354,AFGL 4463S,HR 2131,HD 41047,K5III,9.25,2.379,9.45,2.38,06 01 16.2979,-33 54 42.608,Star,6,1,16.2979,-33,54,42.608,90.31790792,-32.08816444
HD41312,06012-2616,F06012-2616,,HR 2140,HD 41312,K3III,9.127,2.348,9.37,2.37,06 03 15.6041,-26 17 04.360,Double or multiple star,6,3,15.6041,-26,17,4.36,90.81501708,-25.71545556
HD42540,06065-6208,F06066-6208,SAO 249451,HR 2196,HD 42540,K2.5III,5.907,1.438,6.33,1.49,06 07 03.3896,-62 09 16.490,Variable star,6,7,3.3896,-62,9,16.49,91.76412333,-61.84541944
HD42633,06111+6000,F06111+6000,40 CAM,HR 2201,HD 42633,K3III,5.306,1.238,5.45,1.28,06 16 40.5411,+59 59 56.312,Star in double system,6,16,40.5411,59,59,56.312,94.16892125,59.99897556
HD43785,06147-3507,F06147-3507,KAP COL,HR 2256,HD 43785,K0.5IIIa,5.784,1.378,6.16,1.45,06 16 33.1357,-35 08 25.867,Variable star,6,16,33.1357,-35,8,25.867,94.13806542,-34.85948139
HD44951,06218-1130,F06218-1130,,HR 2305,HD 44951,K3III,5.172,1.249,5.29,1.3,06 24 10.3201,-11 31 48.316,Star,6,24,10.3201,-11,31,48.316,96.04300042,-10.46991222
HD45018,06218-2532,F06219-2532,,HR 2311,HD 45018,K5III,9.503,2.275,9.32,2.31,06 23 55.9162,-25 34 39.466,Star,6,23,55.9162,-25,34,39.466,95.98298417,-24.42237056
HD45669,06231-6957,F06231-6957,PI 1 DOR,HR 2352,HD 45669,K5III,7.048,1.74,7.28,1.71,06 22 38.2745,-69 59 02.556,Star,6,22,38.2745,-69,59,2.556,95.65947708,-68.01595667
